"GSID","Project Name","Project Developer Name","Status","Sustainable Development Goals","Project Type","Country","Description","Estimated Annual Credits","Methodology","Size","Programme of Activities","POA GSID"
"12169","Dicayagua Solar Park","MAGNETAR GLOBAL PARTNERS S.R.L.","Listed","13,7,8","PV","Dominican Republic","The proposed project activity consists of installing and operating a new grid-connected PV power plant, to be located in Santiago Municipality, Santiago de los Caballeros Province in the Dominican Republic, a SIDS. Dicayagua Solar Park will have an installed capacity of 180 MWp .","202000","ACM0002 Grid-connected electricity generation from renewable sources","Large Scale","Standalone",""
"12080","Esperanza Solar Plant ","ENERION RENEWABLES S.R.L. SEMPLIFICATA","Listed","13,7,8","PV","Dominican Republic","The proposed Voluntary Project Activity (VPA) consists of installing and operating a new grid-connected Solar Photovoltaic (PV) power plant, at a site where no renewable power plant was operating prior to its implementation (green-field plant). Esperanza power plant will be located in the Esperanza municipality, province of Valverde in the Dominican Republic.

Esperanza power plant will have an installed capacity of 90 MW  and involves the installation and construction of the following components: photovoltaic solar panels on embedded metal structures, three-phase inverters, transformers, medium and high voltage electrical networks, electrical substation, warehouse, administrative and control buildings, access roads, internal roads and platforms, parking lots, green areas, among others. In addition, it will have all the facilities for this type of project such as drinking water system, domestic wastewater system, system for the management and disposal of solid waste during the construction and operation stages of the project.
The energy that will be generated by the proposed project activity is currently dispatched by other grid-connected power plants. Hence, the baseline scenario and the scenario prior to project implementation are the same and in the absence of the proposed project, the electricity would have been generated by national grid connected plants, which includes fossil fueled power sources.
The project aims to provide clean, renewable, reliable, and sustainable energy to the National Interconnected Electrical System (SENI ) of the Dominican Republic. It will help in meeting the increasing demand for energy to bolster the nation’s expanding economy. By harnessing solar energy, an abundant renewable energy resource in the country, the project will not just provide clean energy to the national grid but will also reduce the high dependence on imported fossil fuels. In addition, the project will contribute towards bridging the gap between demand and supply of power and therefore, strengthening the national energy security. By generating an annual average of 198 312 MWh/y, the project is expected to reduce an average of 123 271 tCO2e of emissions annually, contributing to SDG 13 (Climate Action) and SDG 7 (Affordable and Clean Energy). The project will also contribute to SDG 8 (Decent Work and Economic Growth) by providing equal work opportunities to all, irrespective of discrimination on any basis.
","123271","ACM0002 Grid-connected electricity generation from renewable sources","Large Scale","VPA","12079"
"12231","Sajoma Solar Park","ENERION RENEWABLES S.R.L. SEMPLIFICATA","Listed","13,7,8","PV","Dominican Republic","Sajoma Solar Park project consist of the installation of a new renewable power plant that is’ being developed by EGE-Haina as part of its PoA named “EGE Haina Solar Project. It is located in the San José de las Matas municipality of the Santiago province and aims at providing green electricity to the national grid, also known as SENI . It will have a total installed capacity of 80 MW and it is expected to generate approximately 148 GWh per year by using photovoltaic panels. ","92000","ACM0002 Grid-connected electricity generation from renewable sources","Large Scale","VPA","12079"
"12168","Ardavin Solar Park","MAGNETAR GLOBAL PARTNERS S.R.L.","Listed","13,7,8","PV","Dominican Republic","The proposed project activity consists of installing and operating a new grid-connected PV power plant, to be located in the Veragua municipal district, Gaspar Hernández municipality, in the Espaillat province in the Dominican Republic, a SIDS. Ardavin Solar Park will have an installed capacity of 102 MWp.
","104000","ACM0002 Grid-connected electricity generation from renewable sources","Large Scale","Standalone",""
"12212","Planta Solar Fotovoltaica Cumayasa 1 y 2","EFD ECOENER FOTOVOLTAICA DOMINICANA SRL","Listed","13,10,7,8","PV","Dominican Republic","The Planta Solar Fotovoltaica Cumayasa 1 y 2 (hereinafter “the Project”) is located in km 10 of Cumayasa, Cumayasa section, Villa Hermosa Municipality, La Romana Province, Dominican Republic. It is being developed by EFD Ecoener Fotovoltaica Dominicana, S.R.L. The project is composed by two solar photovoltaic farms, Cumayasa 1 and Cumayasa 2.
The peak power output of Cumayasa 1 is 60.04MWp and 50MW of nominal power capacity and for Cumayasa 2 is 36.007 MWp and 30 MW, respectively. Cumayasa 1 covers an area of 734,979.56 m2 and Cumayasa 2 was built in an area of 520,479.53 m2. The total area covered by the project is 1,255,459.09 m2.
It has been estimated that the operating lifetime of the proposed project is expected to be 25 years. ","138385","ACM0002 Grid-connected electricity generation from renewable sources","Large Scale","Standalone",""
"12165","Coastal Solar Project","MAGNETAR GLOBAL PARTNERS S.R.L.","Listed","13,7,8","PV","Dominican Republic","The proposed project activity consists of installing and operating a new grid-connected PV power plant, to be located in the San Pedro de Macorís municipality, province of San Pedro de Macorís in the Dominican Republic, a SIDS. Coastal Solar power plant will have an installed capacity of 130.7 MW. ","119500","ACM0002 Grid-connected electricity generation from renewable sources","Large Scale","Standalone",""
"12172","Grid-Connected Solar PV Project in Santo Domingo Este","atmosfair gGmbH","Listed","13,7,8","PV","Dominican Republic","The project “Grid-Connected Solar PV Project in Santo Domingo Este” provides clean and affordable energy to the people of the Dominican Republic through building an 11.5 MWp solar PV plant. The plant is to be connected to the grid through a transmission line. In addition, the project will have a showcase solar hybrid greenhouse.","10000","AMS-I.D. Grid connected renewable electricity generation","Micro scale","Standalone",""
"12079","EGE Haina Solar Project","ENERION RENEWABLES S.R.L. SEMPLIFICATA","Listed","13,7,8","PV","Dominican Republic","The proposed solar PoA consists of an installation and implementation of Solar Photovoltaic Power plants located in different departments within Dominican Republic territory. The implementation of the PoA ensures energy security, diversification of the grid generation mix and sustainable growth of the electricity generation sector in Dominican Republic.
The first phase of the PoA will have approximately a total installed capacity of 311 MW, with the installation of 827,330 Solar Photovoltaic units. The electricity generated by the PoA for this first phase is expected to be around 625 GWh per year, which will be delivered to the SENI; avoiding part of the electricity generated by the grid-connected power plants. Thus, it will contribute to sustainability by increasing the share of renewable energy and reducing GHG emissions. ","0","ACM0002 Grid-connected electricity generation from renewable sources","Large Scale","POA",""
"11684"," Safe Water Development of the Americas","Offset Financial Holdings LLC","Listed","13","Energy Efficiency - Domestic","Dominican Republic","The project is located in rural and urban districts throughout the North, South, and Central America. Countries include Dominican Republic, El Salvador, Guatemala, Haiti, Honduras, Mexico, Nicaragua, Peru. All these countries face problems with low incomes, poor indoor air quality, and access to safe drinking water. A lack of safe drinking water and sanitation results in a host of healthcare issues including frequent, and sometimes deadly, water-borne illnesses. Much of these populations either uses untreated and unsafe water or, instead, uses wood and biofuels to purify their drinking, cleaning and washing water. This process results in the release of greenhouse gas emissions from the combustion of wood. These emissions can be avoided, however, if a technology that does not require fuel (wood or fossil) supplies the clean water these countries need.","500000","GS Methodology for emission reductions from safe drinking water supply","Large Scale","POA",""
"11620","Santanasol 50MW PV Plant","Coral Future Pte. Ltd.","Listed","13,7,8","Other","Dominican Republic","The Santanasol 50MW PV Plant is located in the Los Roches area, Gualey section, Nizao Municipality, Peravia Province, Dominican Republic. It is being developed by AES ANDRES DR, S.A. The total capacity of the solar power project will be 50MW. The project will be situated in an area of about 1,238,755.42 square meters and the solar plant will cover about 804,400 square meters of the total project area. It has been estimated that the operating lifetime of the proposed project is expected to be 25 years.","72793","ACM0002 Grid-connected electricity generation from renewable sources","Large Scale","Standalone",""
